"","logFC","logCPM","LR","PValue","FDR"
"CREM",0.800606588783541,4.96133039358785,21.0411468096932,4.49525100143308e-06,0.0341863838658986
"IDI1",0.404511947740411,6.50871076598578,19.6891789462527,9.11158599320974e-06,0.03464680573918
"SIK1",0.623362511810706,5.6440020938601,17.7182500755969,2.56157208635798e-05,0.0561363720954015
"ZNF331",0.73073621519596,6.29693792079385,17.4480929770169,2.95260339752276e-05,0.0561363720954015
"FBXO33",0.404182246741383,4.28242662008583,15.5631777543096,7.9793531412516e-05,0.0916383530348873
"ZRSR2",-0.293379826712036,5.86268700129178,15.4122042765877,8.64282991908403e-05,0.0916383530348873
"GNA13",0.370870241099945,4.32030343091861,15.368486337189,8.84512458256557e-05,0.0916383530348873
"ACAT1",-0.402637186456423,4.48818844341712,15.2059735540279,9.63980045074422e-05,0.0916383530348873
"FADS3",0.379450473263169,4.21956618611997,14.6609816091603,0.000128682714613531,0.0962210687431603
"HNRNPM",-0.210456717238408,7.44946541200284,14.5941808817442,0.000133325614496833,0.0962210687431603
"REV1",0.328769165273347,4.27517657994179,14.3416986328433,0.000152450405893407,0.0962210687431603
"MKNK2",0.344084033833801,5.2209573228625,13.9779013177,0.000184971979469189,0.0962210687431603
"NEIL1",0.520610257133425,5.28567552925841,13.6074148625228,0.000225293911045323,0.0962210687431603
"N4BP3",0.499311853791361,2.95542883283239,13.3896136037104,0.000253021509072132,0.0962210687431603
"MTMR6",0.492332947580655,3.94358249311402,13.3748281346967,0.000255023996915706,0.0962210687431603
"EZR",0.338821381987142,8.193906168902,13.3080227407171,0.000264272901758529,0.0962210687431603
"RASGRP1",0.403952248167644,4.55823874936651,13.3079190078678,0.0002642875229005,0.0962210687431603
"SNAP23",-0.221374432208584,6.02280114118779,13.2187395145239,0.000277163952348175,0.0962210687431603
"RSRC2",0.29245221080132,7.11314913879698,13.1803942201569,0.000282893238961984,0.0962210687431603
"TRMT10B",-0.320399792687985,4.1660395695142,13.1321523043634,0.000290271126664184,0.0962210687431603
"FAM76B",0.333999781598804,4.5503553313774,13.117984461189,0.000292474518292453,0.0962210687431603
"NR4A1",0.585744195910714,4.28379025272134,13.0944035440919,0.000296179290734148,0.0962210687431603
"SPOUT1",-0.347976350801656,3.72402737532451,13.0738985368476,0.000299439249793712,0.0962210687431603
"NFKBIB",0.400581034603602,4.28720882609859,12.9944892525126,0.000312409054134328,0.0962210687431603
"HERPUD1",0.436441832770812,7.98375783899256,12.8559318372936,0.000336411144245324,0.0962210687431603
"SERPINB8",0.420298394638138,2.9553996384879,12.8450092939717,0.000338380529724402,0.0962210687431603
"NR4A2",0.769559295011322,6.84600746585435,12.8272182498874,0.000341613261810037,0.0962210687431603
"RMND5B",-0.297645221671429,3.94708351620927,12.665557111687,0.000372453532008694,0.0970027533951127
"RFK",0.307417953007762,3.55141728588187,12.6027972331496,0.000385169895639954,0.0970027533951127
"TP53BP2",0.468274275063128,3.24615548411594,12.5594891727544,0.000394199489293431,0.0970027533951127
"TMEM167B",0.243133655427387,4.99779757482166,12.5294465045379,0.000400588456775929,0.0970027533951127
"CSRNP1",0.53035735744492,4.91339387575159,12.4944438749456,0.000408164116849916,0.0970027533951127
"EGR1",0.834942768705829,4.63846911504812,12.2672829148998,0.000460968948027145,0.106232389386256
"LRRFIP1",0.179057244033994,7.36339605405031,12.1566005609311,0.000489144487872475,0.107341797227451
"NFRKB",-0.408703202963234,3.33290670424871,12.1381324441787,0.000494012216036919,0.107341797227451
"KPNA2",0.441452606031536,4.0678001127911,12.0335466709613,0.000522515587805322,0.107432939356446
"TTC1",-0.23418334017213,5.80349143658559,12.0329427413037,0.000522684912056347,0.107432939356446
"S100A8",-0.401142282331784,8.43064015815284,11.938160276587,0.000549957596142717,0.110063882070141
"DUSP2",0.63721300677465,6.53681369630075,11.7101021915976,0.000621617059095186,0.121215326523561
"MOB3A",0.349443814902572,4.95052964687227,11.626632016406,0.000650141703648552,0.123608191406181
"IL2RG",-0.197140641447947,7.66931633755211,11.5498243159002,0.000677556588543806,0.124054150068819
"ARID5B",0.257732496669374,7.54308058015521,11.5079024423907,0.000693009351327998,0.124054150068819
"GNB5",0.233648524895268,5.07348108555048,11.4565491928821,0.000712424717119833,0.124054150068819
"MCL1",0.288000207058211,6.36968946141924,11.3728337247074,0.000745260919247045,0.124054150068819
"ATF4",0.347615845583701,7.05680198142063,11.3561951408947,0.000751967166020029,0.124054150068819
"CACYBP",-0.262629709550039,5.80283276648859,11.2590728234147,0.000792347781210281,0.124054150068819
"POLR1F",0.376566003309237,5.1198538148368,11.2023815458174,0.000816924190083361,0.124054150068819
"TERF2IP",0.169403268685318,6.87437859438689,11.1934948454092,0.000820845946521206,0.124054150068819
"FYTTD1",0.284311441948863,5.10664220614147,11.187268942069,0.000823604806398075,0.124054150068819
"KDM6B",0.658874916817112,5.19950996153606,11.1222490267301,0.00085298294315364,0.124054150068819
"CHD1",0.242226051375227,6.14141543582066,11.1142549021493,0.000856667330921327,0.124054150068819
"WHAMM",0.312415517197105,5.36662105952487,11.077242433767,0.000873936683872317,0.124054150068819
