"","logFC","logCPM","LR","PValue","FDR"
"RUNX3",0.423282306969701,4.95313859730994,27.2109721691226,1.82420480187676e-07,0.00169869951150764
"BTG3",0.514558727175354,4.89022931438296,24.6609797198064,6.83542065340895e-07,0.00318257185622721
"POLR3E",0.385080083373755,4.00825665706811,21.9836661971003,2.74980713403613e-06,0.00555568708023861
"SETD7",0.647493372262454,2.95407212228019,21.6341093862805,3.29932023717276e-06,0.00555568708023861
"GNA15",0.769731997855156,2.20870053092867,21.4868063163534,3.56271481628322e-06,0.00555568708023861
"WDR61",-0.256397334961827,4.9093922044105,21.4542754541751,3.62367141084563e-06,0.00555568708023861
"RPAP3",-0.362281491491188,4.39857483172461,21.0369391198884,4.50513359073483e-06,0.00555568708023861
"EZR",0.357274800192672,6.75095499806305,20.6734606820703,5.44657078052391e-06,0.00555568708023861
"HEBP2",0.324211640970337,5.36835975217208,20.5453358059195,5.82355128825574e-06,0.00555568708023861
"RAB9A",0.32451812162055,4.09079550414917,20.3799439142103,6.3491743166836e-06,0.00555568708023861
"DUSP4",0.779671478831399,3.35168437666834,20.3166284197154,6.56277468670798e-06,0.00555568708023861
"MAPKAPK2",0.436039983850229,3.37858371839615,20.0594528517796,7.507153786747e-06,0.00582555133851567
"REL",0.446568476231329,5.53090854602813,19.3465431936821,1.09016415269937e-05,0.00726786817138747
"ELMO2",0.45470117723342,2.4718905455395,19.3421453697628,1.09267777490791e-05,0.00726786817138747
"PMAIP1",0.647809713794437,5.92945404035026,18.999491742077,1.30753277609864e-05,0.00811716347402033
"LINC01550",-0.342284277863406,5.35453202357595,18.6956281554549,1.5333364371943e-05,0.00892401806447084
"TUBB4B",0.434638427039217,4.91150172154011,18.1267845325587,2.06673743645748e-05,0.0113208582401718
"IRF2BP2",0.316667411364218,5.83717898219864,17.8285706171967,2.4172622867373e-05,0.0119496719807179
"YES1",0.638894676090386,1.8354805433325,17.7232482052009,2.55485060677403e-05,0.0119496719807179
"PIM3",0.466966466229421,5.11065830170128,17.5839364878112,2.74900663562205e-05,0.0119496719807179
"SENP2",0.297184186245618,3.38487728261603,17.5126529237136,2.85401987711846e-05,0.0119496719807179
"TNFAIP3",0.665722386695846,7.53720746409385,17.3615759882431,3.09010343400996e-05,0.0119496719807179
"DNAJA3",-0.251488909635591,3.84930988866105,17.201629709881,3.3614785988164e-05,0.0119496719807179
"PPP2R5C",0.212141601664063,7.86519995111506,17.1428665352622,3.46709054295742e-05,0.0119496719807179
"ETF1",0.304093299246133,4.43256616931717,17.1097455512038,3.5280803044825e-05,0.0119496719807179
"EML4",0.278582862687062,6.70819525043669,17.0272697192546,3.68468123931255e-05,0.0119496719807179
"ELL2",0.747483867072758,2.17412729799809,17.0051550573718,3.72784684553585e-05,0.0119496719807179
"RGS1",0.815437935964334,7.01301000537908,16.8646867922753,4.01414996301459e-05,0.0119496719807179
"EIF3A",0.220171522502065,6.60424954942657,16.8614560564946,4.0209886667095e-05,0.0119496719807179
"TSGA10",-0.347703582446024,3.64105806370128,16.8489844290149,4.04749820741962e-05,0.0119496719807179
"PTS",0.37575396719969,3.6182763241108,16.8427549061309,4.06080533166215e-05,0.0119496719807179
"JMJD1C",0.225485774672435,5.80871986197642,16.8215573952815,4.10641648821921e-05,0.0119496719807179
"HMOX2",-0.233273261575149,5.82935608710294,16.740788586576,4.28497909373427e-05,0.0120914319154102
"GABARAPL1",0.460437387106041,4.47766845288556,16.4839303774587,4.9064165499319e-05,0.0134378090920488
"KLF6",0.466581389701376,8.41177132432318,16.2656371173469,5.50533512479948e-05,0.0146473373377522
"XRCC5",-0.180264187067273,6.9491004607753,16.1476855880323,5.85901185620382e-05,0.0151553106680472
"PDE4D",0.572615410722516,5.02723462949421,16.0756480699425,6.08616629811698e-05,0.0153174001535312
"EAF1",0.426220348365613,2.87705667577345,16.0175106469346,6.27593367264035e-05,0.0153793406209545
"PLEKHA2",0.340167348266916,3.87695388390596,15.9081022559395,6.64934566968715e-05,0.0154369152389077
"VCPKMT",0.336444778849232,3.53871861150792,15.8963255935787,6.69084894095824e-05,0.0154369152389077
"FAM133B",0.221104604297287,6.81627632160429,15.8628711501199,6.81017599131853e-05,0.0154369152389077
"NRBF2",0.265777956261183,4.27831014274671,15.8210051673204,6.96252620311557e-05,0.0154369152389077
"CHD1",0.278890102771734,6.02213532118582,15.7475729525527,7.23807412423956e-05,0.015674638661609
"ARFRP1",-0.30165464908183,4.58736227619815,15.61871503213,7.74838964884087e-05,0.0158909931507793
"PURB",0.359132941867049,3.04298341723987,15.5895084228694,7.8690004695657e-05,0.0158909931507793
"LUZP1",0.363403621100525,4.22486939398257,15.5617638509133,7.98532270977638e-05,0.0158909931507793
"SNHG15",0.317028144274983,5.91360214482072,15.5534340428682,8.02058288323266e-05,0.0158909931507793
"TBC1D10C",-0.190315727129795,6.85135339095806,15.4840804493439,8.32030588981185e-05,0.016141393426235
"FAM177A1",0.276620347904505,5.72705817317464,15.4040018675822,8.68042665802676e-05,0.016193916654195
"JMY",0.434427415178876,3.63832321241656,15.4007913543201,8.69518720693462e-05,0.016193916654195
"AC104532.4",0.634216322039963,1.6463588140918,15.2613656638808,9.36117405032822e-05,0.0170924025013052
"WDR48",0.253392270955015,3.75041808173732,15.2157621280026,9.58996309306133e-05,0.0171734108312667
"CREM",0.620249076214119,5.7277953843076,15.1336188342528,0.000100163609696233,0.017530986497847
"SRGN",0.359610747001657,8.44444140266442,15.089891700112,0.000102510742001342,0.017530986497847
"ACAT1",-0.39514421436628,4.68735085021679,15.0474099787144,0.00010484403022119,0.017530986497847
"DNAJC11",0.341299475959007,2.59741342323047,15.0369464095922,0.000105426894746502,0.017530986497847
"CFL2",0.456590250604256,3.21774477748077,14.9911892116649,0.00010801431968446,0.0176461288579244
"TSFM",0.3309631115538,3.66025334918565,14.9414130337977,0.000110901648416355,0.0178054508629844
"RAB11FIP1",0.349599803930781,4.37807068542564,14.8953378744694,0.000113643494657405,0.017936410546606
"DHX36",0.185931944273176,6.15956570884749,14.819855524753,0.000118283566004523,0.0181566669291378
"MRPL24",-0.234883480657123,4.89692142484797,14.8094397872218,0.000118938647194739,0.0181566669291378
"IRS2",0.440109902576339,4.25972470426041,14.7740994786357,0.000121188659342361,0.0182017547709043
"OSER1",0.452899492661231,5.16728096188387,14.7138422758952,0.000125124323979927,0.018223078931094
"RPP14",0.311657226873989,3.59738825522856,14.7120320408473,0.000125244528736041,0.018223078931094
"GZMK",0.548742859046204,5.53868044337548,14.5759654999645,0.000134620666962541,0.019285963857772
"EXOC6B",0.417160535684169,1.79476218826515,14.5153127355232,0.000139024877034638,0.0196151462870689
"PYCR2",-0.292319815634797,4.89802224510689,14.4774333158694,0.000141848741038639,0.0197148578589822
"POLR1F",0.260378691333773,4.79396972353029,14.4152820680685,0.000146607724184809,0.0200766342295432
"VNN2",-0.358097549860897,3.16326032939769,14.3695778260545,0.000150209643338408,0.0202717709966269
"GNA13",0.296488687809935,3.80164172340843,14.3053478921259,0.000155422699754701,0.0204263784143348
"CDK4",-0.277127764149849,4.05263164668201,14.2796603097161,0.000157558225199564,0.0204263784143348
"GATB",-0.383200226914552,2.13800166923032,14.2568738440711,0.000159477288511075,0.0204263784143348
"VIPAS39",0.345778549788753,2.15695038384161,14.2491928296514,0.000160129469957737,0.0204263784143348
"ELL",0.31554333150395,2.53427988878591,14.082812003319,0.000174935073781312,0.0220134514466429
"TENT5C",0.431929228945815,4.4878730277047,13.9622502363064,0.000186518276449881,0.0228172281152033
"RNF125",0.334718548968327,5.89711113671167,13.960295686513,0.000186712294623403,0.0228172281152033
"THOC6",-0.265890950149913,4.30913346210855,13.9329232642564,0.000189450872757991,0.0228172281152033
"LRIG1",0.379555235644762,2.28029002151349,13.8999379661544,0.000192804831713828,0.0228172281152033
"CYB5R1",-0.274687623375329,3.83257437573586,13.8743970221238,0.000195442884555504,0.0228172281152033
"RTF2",-0.175378170878405,5.94392672242351,13.8688146595186,0.000196024296522365,0.0228172281152033
"VPS37B",0.326757087162636,4.113576029368,13.8012870213589,0.000203196986533664,0.0233227586431418
"PLK3",0.372260087683078,4.92156524921127,13.7792908771132,0.000205590022827247,0.0233227586431418
"MAFF",0.63051932455778,3.01266583408127,13.7380116224226,0.000210157851172699,0.0233227586431418
"OTUD1",0.390184695833013,2.83304508116633,13.7152526716177,0.000212719872430395,0.0233227586431418
"BCKDK",-0.2984911586672,3.244408778315,13.6864806383002,0.000216003890661063,0.0233227586431418
"G3BP2",0.251354928524243,6.53363665787248,13.6627994874263,0.0002187451334781,0.0233227586431418
"HIBADH",-0.281210431486709,3.54508965035533,13.6553147664367,0.000219618806743213,0.0233227586431418
"FBXO33",0.325039959826084,4.08366754330174,13.6486129514593,0.000220404076524536,0.0233227586431418
"TUBA1C",0.30530723282096,3.82437814152452,13.6071222514749,0.000225329029426107,0.0235759991237743
"TENT4B",0.299287556216213,3.47871617236434,13.5599465963967,0.000231063671320041,0.0238095322185983
"MRPL52",-0.212051721805736,6.14695218260894,13.546905202866,0.00023267476717058,0.0238095322185983
"NNT-AS1",-0.311842005395719,3.38651971476486,13.486617673999,0.000240270906404345,0.0243195943525789
"CAP1",-0.15814755109299,7.09893075198829,13.3927041886338,0.000252604938574781,0.0252930880431007
"PATL1",0.263858409377838,3.43211302493198,13.3704526497858,0.000255619653310912,0.025322661825864
"SUGP1",-0.275605987871481,3.37667296834648,13.3503687737821,0.000258371812162566,0.0253258769985034
"ELOA",0.291976763752991,3.65936365507173,13.2996520478474,0.000265455376288557,0.0254560001712848
"IQGAP2",0.248455151562872,5.38837247345471,13.2788133238511,0.000268422347394905,0.0254560001712848
"MAP3K3",0.329083078875425,3.15374647002268,13.2759861917935,0.000268827435007822,0.0254560001712848
"HMGCS1",0.406836781026284,2.86657678589544,13.2634299616481,0.000270634022439561,0.0254560001712848
"TIPARP",0.384339661965193,4.06045037954401,13.241206803244,0.00027386153658042,0.0255019862863687
"ZFAND5",0.248613652787225,5.49309839942808,13.1467809499295,0.000288013627896206,0.0262076138877839
"PPP1R15B",0.420689766249911,3.84522620237142,13.1383623179946,0.000289310623838899,0.0262076138877839
"PHF5A",0.232268044220663,4.95672326614208,13.1346635409116,0.000289882327152249,0.0262076138877839
"ZFAND2A",0.247943480193036,4.63086521186124,13.0736106133605,0.00029948528151987,0.0266429852631167
"NDUFB1",-0.301678097194213,7.46769258821607,13.04384287167,0.000304283099281063,0.0266429852631167
"EIF1B",0.193241328543873,6.16735925491031,13.033106860602,0.000306032427840675,0.0266429852631167
"UTS2",0.817129804844285,3.38610045893745,13.0259724814073,0.000307200510017572,0.0266429852631167
"RNF19A",0.442672401367683,5.85865050514572,13.0150125628334,0.000309003695061921,0.0266429852631167
"HSP90AA1",0.204799318382768,8.79333034584522,12.9736514669267,0.000315905311928948,0.0269881675658933
"GADD45A",0.490833511287974,4.56976496693141,12.9166046184559,0.000325680091436613,0.0275703001041612
"BCCIP",-0.174066826803428,4.68739861411739,12.8726293181343,0.00033342282691309,0.0279714717496819
"RNF146",0.291851733632008,2.99860292111553,12.8505956550073,0.000337371834542774,0.0280500582434135
"IDI1",0.313615543609379,5.36002324578868,12.8219593114754,0.000342574791066913,0.0280685628989141
"AGO2",0.371351823363581,2.6917210937714,12.8138912520028,0.000344055240319377,0.0280685628989141
"PREX1",0.304252861214557,4.02069255347339,12.7999041721337,0.000346637106247329,0.0280685628989141
"CCNY",0.238356287178729,3.91135218694177,12.7656620980366,0.000353040608405355,0.0283406391850919
"MITD1",-0.184803359135896,5.69124891920599,12.7284628537072,0.000360132417516609,0.0284448385048809
"BUD31",0.178740297972977,6.12757943338733,12.6891063293446,0.000367792007541717,0.0284448385048809
"ZNF821",0.340753717766815,2.92770627967773,12.6808460099844,0.000369420384178259,0.0284448385048809
"TUBB2A",0.54461727851654,3.24999040077388,12.6733306899566,0.000370908214236628,0.0284448385048809
"SOD2",0.26222118524161,5.972786309604,12.6478348179353,0.000376000888919827,0.0284448385048809
"DDX21",0.240592874779534,6.97494312512089,12.6065082199578,0.000384405939290883,0.0284448385048809
"TADA2B",0.317181252080827,2.38734206923622,12.6063397091364,0.000384440596351429,0.0284448385048809
"BIRC3",0.300603841087286,7.17306361989171,12.5772175173022,0.000390477651159336,0.0284448385048809
"TOP1",0.232068381192053,5.07407413360642,12.5717831299384,0.000391614747848842,0.0284448385048809
"MAP3K8",0.378782564008505,3.78586594775875,12.5711169554242,0.000391754368514294,0.0284448385048809
"KCTD9",0.272222194195113,2.67731553508022,12.5552231739375,0.000395100409941348,0.0284448385048809
"SREK1",0.16391470333536,5.5241126038139,12.5519724297219,0.000395788316877884,0.0284448385048809
"CCT5",-0.223337911041471,5.40950267199618,12.5402638952195,0.000398276049529513,0.0284448385048809
"RPRD1B",0.391764471737632,2.0341409447768,12.5377001646481,0.000398822871544551,0.0284448385048809
"DNAJC8",-0.158872607822341,6.97465913875648,12.508656042551,0.000405070885149663,0.0284448385048809
"MAGOHB",-0.213507073958771,4.39853721818872,12.5032996292802,0.000406233904354962,0.0284448385048809
"SPRYD3",-0.284606991416669,2.77589621487519,12.503144853712,0.000406267560260864,0.0284448385048809
"ASH2L",-0.278428729789175,3.34244919062581,12.43907444577,0.000420444087641307,0.0290242276776936
"SLC25A36",0.247635315104175,4.8925203916893,12.4375984189413,0.000420776496616048,0.0290242276776936
"TSC22D2",0.309307448555832,3.24928220512076,12.4078300947003,0.000427537370138482,0.0292737352259525
"ZDBF2",0.535993007217339,2.0938004573832,12.3877309506066,0.00043216409827362,0.0293745407527295
"NFKB2",0.39183867357779,4.1497882490798,12.364358634877,0.000437607868830589,0.0293794998893576
"M6PR",-0.199100571048775,6.21309372523936,12.3576225163836,0.000439189620821928,0.0293794998893576
"RABGGTB",0.220112762287869,5.21081465721507,12.3469729092649,0.000441702103147559,0.0293794998893576
"S100A8",-0.397551408749057,8.27389311742754,12.3303259229929,0.0004456585895612,0.0294324311063397
"TIMM17A",0.220323725913508,4.43776662441506,12.309341667986,0.000450696908242392,0.029555560630656
"CIR1",0.160316368027577,6.26960009656387,12.2207329526917,0.000472613603844625,0.030563976945913
"PTPN7",0.232649605942549,5.44633340039718,12.1973070953945,0.000478585511485299,0.030563976945913
"PTBP1",0.19107444894509,5.15258115307481,12.1924695923414,0.000479828182508718,0.030563976945913
"SAT1",0.187087872321843,8.2509507779807,12.1839165764249,0.000482033278880534,0.030563976945913
"SERGEF",-0.232168209014703,4.05723922642608,12.1750341818161,0.000484334120825365,0.030563976945913
"BHLHE40",0.516411352994153,4.03744852737325,12.164695874435,0.000487026055922168,0.030563976945913
"FYN",0.186110790178778,5.97681615541417,12.1569613034477,0.00048904988884676,0.030563976945913
"KPNA2",0.420165189563622,3.67386357961247,12.1152181747346,0.0005001198631543,0.0310474411046189
"N4BP1",0.289544804179108,4.13573592343285,12.057104995127,0.000515953547530247,0.0312912048459887
"DERL1",0.192290800175043,4.55398754571273,12.0542273215298,0.000516750626575153,0.0312912048459887
"CAT",-0.24433782332585,4.49694281092977,12.0490871587931,0.000518177480690664,0.0312912048459887
"CMSS1",-0.294795346443911,4.70067625302353,12.0400252261517,0.00052070266911392,0.0312912048459887
"USP3",0.199775564453839,5.48678647508186,12.0353560262123,0.000522008628762622,0.0312912048459887
"PDLIM2",-0.225673017342337,5.39148990477088,12.0275180284635,0.000524208328605481,0.0312912048459887
"CCDC59",0.207758291627787,6.62457157611121,12.0033375081881,0.000531053624725483,0.0313055914361076
"ZNF430",0.243076437326216,4.79610868089093,11.9985027948685,0.000532433077845105,0.0313055914361076
"DDIT3",0.412413116630415,4.83483779652309,11.9868430899433,0.00053577475523291,0.0313055914361076
"REXO4",-0.200555759027784,4.7586833386404,11.9593009761713,0.000543752663808968,0.0313055914361076
"CELF2",0.177889780739781,7.06693277482783,11.9583177788745,0.000544039665406263,0.0313055914361076
"ECHS1",-0.227466698008583,5.12009507861959,11.9563296868337,0.00054462046957146,0.0313055914361076
"SIK1",0.565813512683452,3.88595268474164,11.9264298670178,0.00055343133395736,0.0313610295746408
"STX12",0.242086215397447,3.73390938975082,11.920356067534,0.000555238669960883,0.0313610295746408
"SLC35A1",-0.301050017656676,3.50927813174808,11.9084829172082,0.000558788904352145,0.0313610295746408
"IFNG",0.611947269284345,2.59630636807999,11.9075922299137,0.000559056154358932,0.0313610295746408
"ANKRD37",0.43181176272697,2.31512887452258,11.8956135189609,0.000562662920372956,0.0313743539791196
"TRAF3IP3",-0.20808077137517,7.91442628098134,11.8699834849385,0.000570459183847687,0.0315715808329783
"DMTF1",0.243162679235961,4.27902932923476,11.8617693868261,0.000572980794756587,0.0315715808329783
"RSRC2",0.246380340385041,6.83210257915793,11.8422048958604,0.000579032235515153,0.0317173422183359
"NFKBIB",0.289965832049151,3.60049597196037,11.8173293403759,0.000586819712885302,0.031823307350232
"ZNF791",0.26094965541176,4.25628239151993,11.8132053734414,0.00058812093323812,0.031823307350232
"NR4A2",0.690730259364379,6.03136690910465,11.8034233269033,0.000591219090591725,0.031823307350232
"ISCA1",0.26118711254736,5.43806825470809,11.7594833445811,0.000605340265410327,0.032208730331578
"KANSL3",0.31240888836191,2.20830041998135,11.7572344055467,0.000606072110616155,0.032208730331578
"RBBP7",-0.169475459317411,5.40324955797555,11.7437725298146,0.000610471566579226,0.032208730331578
"ACVR1",0.419125416799512,2.44644321464664,11.736148803377,0.000612977354404433,0.032208730331578
"COPS7B",-0.236177824546276,3.74264118851152,11.727980224268,0.000615673754190388,0.032208730331578
"OGFOD2",-0.292032616032783,2.67431608160919,11.6448027142835,0.000643821618162404,0.0334678509447909
"CNOT6L",0.32323019099965,5.5333760744883,11.6358431777595,0.000646930108468896,0.0334678509447909
"FBXW7",0.250597922731525,4.28596673943615,11.6171336171681,0.000653470313842002,0.0336194229972195
"ARPC5",-0.211878857304064,7.34538875677479,11.591974940229,0.000662370315934716,0.0338900680328795
"IER5",0.419896992527702,3.65267811382471,11.5649043002445,0.000672083493215314,0.034199133818694
"OTUD4",0.293728497035951,3.60233426925697,11.5537038761516,0.000676144263074677,0.0342187792269097
"HDDC2",-0.185803627058906,5.71873597206953,11.5077810245097,0.000693054620202081,0.0346343934945956
"DBF4",0.271308715943138,4.85399996116572,11.506913553179,0.000693378131070852,0.0346343934945956
"UBE2S",0.423120970861909,3.17212216680515,11.5006061042444,0.000695734994479738,0.0346343934945956
"RBM38",0.309364753605122,4.57609108000946,11.491282041073,0.000699233889280925,0.0346343934945956
"ARMC10",-0.217332871196733,4.31064006645941,11.4808265510822,0.000703178504228194,0.0346454932876875
"COG4",-0.242978624135544,3.75014392993927,11.4587183159276,0.00071159361717351,0.0348351452671191
"BANF1",-0.249462788366762,6.03996828130058,11.451119180084,0.000714509530285626,0.0348351452671191
"ELF1",0.229830550167917,7.87258609738478,11.4252758311141,0.000724516685856773,0.0348735816067033
"TAFA2",0.402394100582914,2.7953449724408,11.4203827505006,0.000726427286232424,0.0348735816067033
"HDAC1",-0.154711114719876,6.03231620672068,11.4201125229494,0.000726532950139652,0.0348735816067033
"WDR77",-0.315414074177127,3.56402972838595,11.4097606148151,0.000730592448059223,0.034888599365782
