"","logFC","logCPM","LR","PValue","FDR"
"ZNF707",0.522460550267412,2.16004037546447,19.9588141111246,7.91283391057538e-06,0.0358981937316749
"PNPLA4",-0.542328892476468,2.81531376753982,19.3375443705288,1.09531375354429e-05,0.0358981937316749
"GABARAPL1",0.470819995946858,5.60722442021833,18.2468264346433,1.94048986338621e-05,0.0358981937316749
"STRN4",0.460924954026751,2.18454567108118,17.8830661668542,2.34901983985252e-05,0.0358981937316749
"TTC1",-0.261644513697305,5.93281958697861,17.5897474145486,2.74061923282037e-05,0.0358981937316749
"KPNA2",0.490389725041606,4.25525727672197,17.2007365532985,3.36305937016327e-05,0.0358981937316749
"ZBTB49",0.519349863197544,2.45948894436875,17.0260844097371,3.68698205032768e-05,0.0358981937316749
"SESN2",0.533603861513363,2.70998508839755,16.9068333429782,3.92599948767185e-05,0.0358981937316749
"PRKAA1",0.217384214086631,5.40115268136381,16.7223091038576,4.32691865478387e-05,0.0358981937316749
"EML4",0.294422628315403,6.77005945237222,16.4306722853845,5.04620565190867e-05,0.0358981937316749
"GDE1",0.331200460690799,4.09051385491026,16.3367121519538,5.30266556965308e-05,0.0358981937316749
"JAML",-0.469790080853298,5.47231859736022,16.2779240921116,5.46975020403615e-05,0.0358981937316749
"BHLHE40",0.610259017326046,4.93098781766072,16.1695514380831,5.79176417014047e-05,0.0358981937316749
"PLEKHA2",0.381921115139728,4.53314075242817,15.9240284523179,6.59363018637503e-05,0.0358981937316749
"IDI1",0.359833407159483,5.90211620942721,15.8636057379297,6.80753297771209e-05,0.0358981937316749
"PIP5K1A",0.390070961963374,2.60947349716322,15.8552621140937,6.83761374981048e-05,0.0358981937316749
"PTPN7",0.315938100339593,6.14784137098921,15.5693393309212,7.9533910363523e-05,0.0358981937316749
"MSH2",-0.401729823531997,3.47282268954199,15.4770041859411,8.35151376330076e-05,0.0358981937316749
"CREM",0.641648493512665,5.98753461593943,15.4329479954177,8.54847803239211e-05,0.0358981937316749
"TRIM11",0.309634708681104,3.60213316806104,15.3843658704015,8.77110052370056e-05,0.0358981937316749
"SLC9A6",0.548294181897094,2.04872763803485,15.3805278272495,8.78893463166262e-05,0.0358981937316749
"TERF2IP",0.191201553899447,7.18877803869302,15.310083438056,9.12282476354886e-05,0.0358981937316749
"GTPBP1",0.352869831869179,4.08196168274787,15.2694792314273,9.32104827081195e-05,0.0358981937316749
"LRCH4",-0.256804811854422,5.61893150593857,15.1873766848903,9.73520329625923e-05,0.0359310128326101
"RETN",-0.628481863422264,2.89773337219138,15.0835827789163,0.000102853923878209,0.036443202308527
"BTG3",0.398040688676005,5.1709072451337,14.6383198128237,0.000130239261485886,0.0443715145477683
"ATXN1",0.372222740946714,4.80362248905572,14.544019692141,0.000136922566996284,0.0449207443871514
"TUBA4A",0.382097291506857,6.89819509059699,14.4544496412795,0.000143590225695887,0.045275674408907
