"","logFC","logCPM","LR","PValue","FDR"
"SDE2",0.386420529797769,3.66495095294844,21.8209251773668,2.9931791822233e-06,0.020181866003312
"JARID2",0.36404218144363,6.17013235687414,21.1963860717403,4.14545441177307e-06,0.020181866003312
"MAPK6",0.406400175664204,4.51743359099139,20.2511208511612,6.79136622106303e-06,0.020181866003312
"SLC7A5",1.01209775259889,2.47500199247459,19.891277956232,8.19734606145899e-06,0.020181866003312
"ZBTB43",0.470521674702372,4.98514590826086,19.1801136723159,1.18946100130344e-05,0.0234276238816725
"PHLDA1",1.20402609275679,2.99469342858221,18.6170925343139,1.59781528182582e-05,0.0236201926123388
"CD81",0.296438295079752,4.11695137000804,18.5215579964107,1.67993373456562e-05,0.0236201926123388
"EAF1",0.51323552109152,5.27411476634356,17.8917908169276,2.33827552394125e-05,0.0236201926123388
"UTS2",1.42272717158944,3.43856391363695,17.8639283703783,2.37276190368022e-05,0.0236201926123388
"MTPAP",0.276522188437336,3.55228607789446,17.8434167373259,2.3984760979223e-05,0.0236201926123388
"USP36",0.405019672288874,3.90346810195215,17.4835317963533,2.89807178596591e-05,0.0259456463165384
"KBTBD8",0.722879305996628,1.85636619244186,17.2209214809703,3.32751634338103e-05,0.0273078174580137
"SMAD3",0.331394352983735,4.16037901539128,16.492556674125,4.88414394311205e-05,0.0326403364121102
"NFE2L2",0.325698029891563,5.83939348139019,16.3595667196328,5.23910347288879e-05,0.0326403364121102
"PRDM1",0.614717967417226,3.8516795753237,16.338317566603,5.29817544883382e-05,0.0326403364121102
"TAMALIN",0.693636119444778,4.39067662402815,16.2728293480111,5.48447719088441e-05,0.0326403364121102
"RP11-138A9.1",0.525337022190485,3.23880374821628,16.2172305261556,5.64780789401879e-05,0.0326403364121102
"EAF1-AS1",0.672442565859502,1.52725347405603,16.1134310128684,5.96594288604775e-05,0.0326403364121102
"FOXO3",0.367144272660389,5.54974292062144,15.7598646958709,7.19119751342581e-05,0.0372731121643249
"BCL10",0.236146220394096,4.54597809378701,15.3788058725558,8.79694783410064e-05,0.0429367751030158
"NR1D2",0.442155859566453,4.31524511954484,15.3032485314561,9.15589233512726e-05,0.0429367751030158
"MAPKAPK2",0.320777804833183,4.5627630413595,15.0111625066396,0.000106877123873777,0.0478420870867707
"DENND3",0.314989250974103,5.33701915356843,14.8541548211881,0.000116151927638853,0.0497332253646705
"MIER3",0.405240950930284,2.17062621866969,14.7323208234298,0.000123903919543858,0.0498333746237269
"STARD4",0.457363880673782,3.38324857196386,14.6931346330136,0.000126506332818153,0.0498333746237269
"CCRL2",0.542258836252597,2.5757758166943,14.5378135888735,0.00013737433289209,0.052033170396973
"CXCL2",0.886816730358581,5.63018582300707,14.4418647450436,0.000144552894349428,0.0520477531241975
"EREG",0.761574918736027,7.05215966887792,14.3976986621387,0.000147983051124851,0.0520477531241975
"BCL3",0.381145693221862,4.86632321936271,14.3213991682767,0.000154103105534939,0.0523312890795889
"GNA15",0.28525769218928,4.69924036646576,14.1934157816754,0.000164946675150817,0.0525108224042452
"PPIF",0.500699974376371,5.1559503446329,14.1310607638987,0.00017050501241032,0.0525108224042452
"UHRF1BP1",0.395150522589185,2.65541593052164,14.122336896468,0.000171297560280863,0.0525108224042452
"MAPK1IP1L",0.179683519311494,5.75557760929364,14.0532466924415,0.000177706776838827,0.0525108224042452
"JOSD1",0.281757692694816,4.29486332370448,13.996580758415,0.000183143378550784,0.0525108224042452
"SNX9",0.45613794530127,3.34893294661187,13.9611791564778,0.000186624571907858,0.0525108224042452
"H2AJ",0.177966861056764,7.1078711017739,13.8983030364625,0.000192972619302375,0.0527887320802719
"ZRANB1",0.288679697734973,3.85616862734368,13.8110694611314,0.000202141755634028,0.0536181396887231
"EIF2B3",-0.230025495897707,3.27258505980742,13.7288090602958,0.000211190037034574,0.0536181396887231
"ELL2",0.601044508796283,3.65897872545902,13.7186248143705,0.000212338286744537,0.0536181396887231
"FOSL1",0.793106820896558,1.58030454191387,13.6058601119902,0.000225480571189378,0.0555133166268248
"INSIG1",0.363154400513506,4.78614896918355,13.3945480356663,0.000252356741344812,0.0606148582625294
"TUBA1C",0.250653308067335,4.63501769743823,13.3455793286302,0.000259032523830967,0.0607369593973182
"TAF13",0.308360949326798,4.19192862306302,13.2813470820222,0.000268059818908884,0.0613919324794115
"ANKRD9",0.719868849618301,1.41206054001252,13.211877694689,0.000278180536112178,0.0617009131224508
"GNA13",0.308021534083146,5.45066299009527,13.1718873396817,0.00028418037381255,0.0617009131224508
"JMJD6",0.324069187819724,4.74192767058948,13.1455369299244,0.000288204915072374,0.0617009131224508
"POLR1F",0.517804097062443,4.68066508532159,13.0581714022203,0.000301964100062534,0.0632711161152304
"BTG3",0.39977826116463,3.41716352919326,12.9852577112725,0.000313953124486885,0.0644127160405593
"SLC16A6",0.414389335787489,4.07134527217624,12.9147868699589,0.000325996521165302,0.0655186477639979
"OCEL1",-0.201022742004332,4.83238195653787,12.8278182472784,0.000341503733115066,0.0666795764648109
"CLCC1",-0.331429762906734,2.42216125768778,12.807055462672,0.000345314622228408,0.0666795764648109
"CTB-61M7.2",0.579315797191805,6.088598716851,12.7411546481272,0.000357696799637577,0.0677422708236704
"ZC3H12A",0.392270634049993,3.86795703445717,12.6201372635976,0.000381613308960092,0.0694018062178216
"AC058791.1",0.546363770123856,1.80961396988761,12.5996821252637,0.000385812364592007,0.0694018062178216
"RASGEF1B",0.622033317868873,5.15165844532971,12.5586752659024,0.000394371215180871,0.0694018062178216
