"","logFC","FDR","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING"
"BTG3",0.514558727175354,0.00318257185622721,0,1,0,0
"DUSP4",0.779671478831399,0.00555568708023861,0,1,0,0
"MAPKAPK2",0.436039983850229,0.00582555133851567,0,0,1,0
"REL",0.446568476231329,0.00726786817138747,0,1,0,0
"TNFAIP3",0.665722386695846,0.0119496719807179,1,1,0,0
"GABARAPL1",0.460437387106041,0.0134378090920488,0,0,1,0
"KLF6",0.466581389701376,0.0146473373377522,0,1,1,0
"IRS2",0.440109902576339,0.0182017547709043,0,1,0,0
"LRIG1",0.379555235644762,0.0228172281152033,0,0,1,0
"MAFF",0.63051932455778,0.0233227586431418,0,1,1,0
"TIPARP",0.384339661965193,0.0255019862863687,0,1,0,0
"GADD45A",0.490833511287974,0.0275703001041612,0,1,0,0
"TUBB2A",0.54461727851654,0.0284448385048809,0,1,0,0
"SOD2",0.26222118524161,0.0284448385048809,1,1,0,0
"BIRC3",0.300603841087286,0.0284448385048809,0,1,0,0
"MAP3K8",0.378782564008505,0.0284448385048809,0,1,1,1
"NFKB2",0.39183867357779,0.0293794998893576,0,1,0,0
"SAT1",0.187087872321843,0.030563976945913,0,1,0,0
"BHLHE40",0.516411352994153,0.030563976945913,0,1,1,0
"SIK1",0.565813512683452,0.0313610295746408,0,1,0,0
"NR4A2",0.690730259364379,0.031823307350232,0,1,0,0
"IER5",0.419896992527702,0.034199133818694,0,1,0,0
"POU2F1",0.236636293342439,0.0360792514261227,0,0,1,0
"RORA",0.27813233929397,0.0415557985771394,0,0,1,0
"PELI1",0.417688911180282,0.0426513234337158,1,0,0,0
"BCL3",0.418352940638939,0.0443770131757312,0,1,0,0
"CD83",0.465173653617527,0.0490463954031009,0,1,1,0
"ICOS",0.301495185744588,0.049483916868866,0,0,1,0
"ODC1",0.281837537852831,0.049483916868866,0,0,1,0
